id,created_at,kind,case_type,severity,status,pickup_zone_id,pickup_name,pickup_ref,pickup_lat,pickup_lng,hospital_id,assigned_vehicle_id,assigned_driver_id,distance_km,eta_to_pickup_min,eta_min,patients_count,event_tag,source,synthetic
SIM-001427,2026-04-23T12:22:26.857Z,medical,Trauma,Normal,COMPLETED,zone-factory,Tata Township Community Centre,loc-tata-township-community-centre,22.7728,86.2074,hosp-foundry-area-medical-centre,sim-veh-factory-amb-4,sim-drv-factory-4,1.59,2.3,2.6,1,,SIM_SEED,True
SIM-009561,2023-12-23T07:27:56.781Z,medical,Respiratory,Critical,COMPLETED,zone-bistupur,Jubilee Park Hub,loc-jubilee,22.8041,86.1894,hosp-township-maternity-clinic,sim-veh-bistupur-amb-5,sim-drv-bistupur-5,1.24,2.9,1.3,1,,SIM_SEED,True
SIM-006701,2023-07-19T07:19:32.161Z,medical,Respiratory,Normal,COMPLETED,zone-factory,Burma Mines,loc-burma,22.7726,86.21,hosp-millennium-women-s-care-clinic,sim-veh-factory-amb-2,sim-drv-factory-2,3.71,9.1,4,1,,SIM_SEED,True
SIM-006576,2023-03-05T22:42:28.133Z,medical,Trauma,Urgent,COMPLETED,zone-sakchi,Sakchi Market,loc-sakchimkt,22.8124,86.216,hosp-steel-city-general-hospital,sim-veh-sakchi-amb-5,sim-drv-sakchi-5,4.77,8.3,5.4,1,,SIM_SEED,True
SIM-002298,2025-03-16T14:53:56.460Z,medical,Cardiac,Normal,COMPLETED,zone-kadma,Iron Core Sports Gymnasium,loc-iron-core-sports-gymnasium,22.7984,86.1689,hosp-subarnarekha-super-speciality-,sim-veh-kadma-amb-4,sim-drv-kadma-4,2.76,4.3,5.8,1,,SIM_SEED,True
SIM-010747,2024-01-27T16:16:30.451Z,blood,,Urgent,CANCELLED,zone-factory,Blue Furnace Township Residency,loc-blue-furnace-township-residency,22.7779,86.217,,sim-veh-factory-amb-5,sim-drv-factory-5,2.1,3.2,1.6,1,,SIM_SEED,True
SIM-010027,2025-04-24T12:21:28.557Z,fire,,Urgent,COMPLETED,zone-kadma,Annapurna Community Mess,loc-annapurna-community-mess,22.8012,86.1811,,sim-veh-kadma-fire-2,sim-drv-kadma-2,5.19,16.3,9.8,1,,SIM_SEED,True
SIM-000933,2025-08-26T09:59:54.609Z,medical,Trauma,Urgent,COMPLETED,zone-factory,Foundry Workers Enclave,loc-foundry-workers-enclave,22.7716,86.2086,hosp-foundry-area-medical-centre,sim-veh-factory-amb-6,sim-drv-factory-6,1.45,2.3,2.3,1,MONSOON_ROAD_TRAUMA,SIM_SEED,True
SIM-009591,2024-01-18T19:30:07.556Z,fire,,Critical,COMPLETED,zone-sakchi,Sakchi Heritage Quarters,loc-sakchi-heritage-quarters,22.8003,86.2002,,sim-veh-sakchi-fire-1,sim-drv-sakchi-1,5.94,18.1,11.4,1,,SIM_SEED,True
SIM-006465,2024-05-15T14:03:29.764Z,medical,Respiratory,Urgent,COMPLETED,zone-sakchi,DBMS College,loc-dbms,22.8055,86.2071,hosp-iron-valley-children-s-clinic,sim-veh-sakchi-amb-3,sim-drv-sakchi-3,4.83,7.8,3.4,1,,SIM_SEED,True
SIM-007960,2023-05-16T03:52:22.100Z,medical,Maternity,Normal,COMPLETED,zone-sakchi,Hotel Sonnet,loc-sonnet,22.8117,86.215,hosp-millennium-women-s-care-clinic,sim-veh-sakchi-amb-3,sim-drv-sakchi-3,1.93,4,2.5,1,,SIM_SEED,True
SIM-009860,2026-03-26T08:51:58.730Z,medical,General,Normal,COMPLETED,zone-bistupur,Jubilee Park Hub,loc-jubilee,22.7982,86.1817,hosp-foundry-area-medical-centre,sim-veh-bistupur-amb-5,sim-drv-bistupur-5,4.8,11.7,9.3,1,,SIM_SEED,True
SIM-006915,2025-06-04T10:27:20.751Z,medical,Trauma,Urgent,COMPLETED,zone-bistupur,JRD Tata Memorial Hostel,loc-jrd-tata-memorial-hostel,22.7976,86.1809,hosp-tata-steel-advanced-multi-spec,sim-veh-bistupur-amb-2,sim-drv-bistupur-2,0.88,2.8,2.3,1,,SIM_SEED,True
SIM-003643,2022-06-15T19:10:00.718Z,medical,General,Normal,COMPLETED,zone-bistupur,JRD Tata Memorial High School,loc-jrd-tata-memorial-high-school,22.797,86.191,hosp-jubilee-care-hospital,sim-veh-bistupur-amb-4,sim-drv-bistupur-4,1.93,3.5,3.9,1,,SIM_SEED,True
SIM-005695,2024-10-18T19:58:12.479Z,blood,,Urgent,COMPLETED,zone-sakchi,Sakchi Market,loc-sakchimkt,22.808,86.2102,,sim-veh-sakchi-amb-1,sim-drv-sakchi-1,1.77,4.2,3,1,,SIM_SEED,True
SIM-001556,2026-05-18T10:20:58.926Z,medical,General,Critical,COMPLETED,zone-kadma,Mill Workers Welfare Colony,loc-mill-workers-welfare-colony,22.796,86.1713,hosp-subarnarekha-super-speciality-,sim-veh-kadma-amb-2,sim-drv-kadma-2,0.96,1,1.6,1,,SIM_SEED,True
SIM-008911,2023-04-07T15:12:07.287Z,medical,Respiratory,Normal,COMPLETED,zone-kadma,Mill Workers Welfare Colony,loc-mill-workers-welfare-colony,22.7953,86.1733,hosp-subarnarekha-super-speciality-,sim-veh-kadma-amb-4,sim-drv-kadma-4,0.42,0.7,0.5,1,,SIM_SEED,True
SIM-000874,2025-09-24T02:35:17.917Z,medical,General,Urgent,COMPLETED,zone-sakchi,Burma Mines,loc-burma,22.8051,86.2351,hosp-sakchi-community-hospital,sim-veh-sakchi-amb-5,sim-drv-sakchi-5,5.6,5.8,10.5,1,,SIM_SEED,True
SIM-003069,2022-10-19T12:32:42.273Z,medical,General,Normal,COMPLETED,zone-sonari,Telco Colony,loc-telco,22.7847,86.1301,hosp-jrd-family-health-clinic,sim-veh-sonari-amb-5,sim-drv-sonari-5,11.73,14.8,20.2,1,,SIM_SEED,True
SIM-009283,2023-03-21T20:01:23.571Z,fire,,Normal,COMPLETED,zone-sonari,Sonari Quarters,loc-sonari,22.7943,86.1748,,sim-veh-sonari-fire-6,sim-drv-sonari-6,3.29,5.6,2.9,1,,SIM_SEED,True
SIM-007668,2024-05-15T18:41:46.990Z,medical,Maternity,Urgent,COMPLETED,zone-sakchi,Hotel Sonnet,loc-sonnet,22.8009,86.201,hosp-jubilee-care-hospital,sim-veh-sakchi-amb-4,sim-drv-sakchi-4,2.55,7.7,6.6,1,,SIM_SEED,True
SIM-005787,2024-01-02T05:03:54.485Z,medical,Maternity,Normal,COMPLETED,zone-sonari,Subarnarekha Riverside Quarters,loc-subarnarekha-riverside-quarters,22.7809,86.1573,hosp-jubilee-care-hospital,sim-veh-sonari-amb-2,sim-drv-sonari-2,3.77,6.2,5.4,1,,SIM_SEED,True
SIM-009613,2025-06-28T22:55:56.108Z,medical,Trauma,Normal,COMPLETED,zone-sonari,Sonari Aerodrome,loc-aerodrome,22.7798,86.156,hosp-subarnarekha-super-speciality-,sim-veh-sonari-amb-4,sim-drv-sonari-4,3.25,7.5,5.7,1,,SIM_SEED,True
SIM-003531,2025-04-08T12:39:31.989Z,medical,Cardiac,Normal,COMPLETED,zone-bistupur,JRD Tata Memorial Hostel,loc-jrd-tata-memorial-hostel,22.7994,86.1886,hosp-tata-steel-advanced-multi-spec,sim-veh-bistupur-amb-2,sim-drv-bistupur-2,1.92,2,3.2,1,,SIM_SEED,True
SIM-000577,2026-04-16T04:35:59.117Z,medical,Trauma,Urgent,COMPLETED,zone-bistupur,Beldih Club (Banquet),loc-beldih,22.8016,86.1902,hosp-tata-steel-advanced-multi-spec,sim-veh-bistupur-amb-3,sim-drv-bistupur-3,2.51,2.9,4.1,1,,SIM_SEED,True
SIM-006318,2026-04-18T17:42:53.070Z,medical,Trauma,Critical,COMPLETED,zone-sakchi,Sakchi Quarters,loc-sakchi,22.7977,86.1968,hosp-subarnarekha-super-speciality-,sim-veh-sakchi-amb-1,sim-drv-sakchi-1,3.22,7.5,5.6,1,,SIM_SEED,True
SIM-004094,2024-07-14T09:32:56.347Z,medical,Cardiac,Normal,COMPLETED,zone-bistupur,Titan Health and Fitness Club,loc-titan-health-and-fitness-club,22.8018,86.1862,hosp-tata-steel-advanced-multi-spec,sim-veh-bistupur-amb-5,sim-drv-bistupur-5,1.32,1.9,2.6,1,,SIM_SEED,True
SIM-004405,2025-03-17T13:34:33.902Z,medical,Cardiac,Critical,COMPLETED,zone-bistupur,Bistupur Quarters,loc-bistupur,22.8012,86.1856,hosp-tata-steel-advanced-multi-spec,sim-veh-bistupur-amb-1,sim-drv-bistupur-1,1.47,1.8,2.4,1,,SIM_SEED,True
SIM-003747,2021-09-06T00:38:38.584Z,medical,General,Urgent,COMPLETED,zone-sonari,NIT Jamshedpur,loc-nit,22.7771,86.1449,hosp-jrd-family-health-clinic,sim-veh-sonari-amb-3,sim-drv-sonari-3,7.54,10.1,14.3,1,,SIM_SEED,True
SIM-000831,2024-10-15T09:52:38.075Z,medical,General,Normal,COMPLETED,zone-kadma,Kadma Quarters,loc-kadma,22.7942,86.1719,hosp-subarnarekha-super-speciality-,sim-veh-kadma-amb-2,sim-drv-kadma-2,0.34,0.3,0.7,1,,SIM_SEED,True
SIM-000636,2021-10-03T19:34:45.964Z,medical,General,Normal,COMPLETED,zone-bistupur,Beldih Club (Banquet),loc-beldih,22.8016,86.1902,hosp-jubilee-care-hospital,sim-veh-bistupur-amb-2,sim-drv-bistupur-2,1.45,1.9,2.6,1,,SIM_SEED,True
SIM-003018,2021-08-21T16:05:44.409Z,medical,Trauma,Critical,COMPLETED,zone-kadma,Iron Valley Student Residence,loc-iron-valley-student-residence,22.7936,86.1737,hosp-subarnarekha-super-speciality-,sim-veh-kadma-amb-4,sim-drv-kadma-4,0.73,1.3,1.3,1,MONSOON_ROAD_TRAUMA,SIM_SEED,True
SIM-000308,2022-04-28T16:45:31.597Z,medical,Trauma,Urgent,COMPLETED,zone-sakchi,Jamsetji Tata Senior Secondary Academy,loc-jamsetji-tata-senior-secondary,22.8087,86.2027,hosp-sakchi-community-hospital,sim-veh-sakchi-amb-4,sim-drv-sakchi-4,2.37,1.8,3.9,1,,SIM_SEED,True
SIM-005260,2025-10-21T19:13:11.312Z,medical,Cardiac,Critical,COMPLETED,zone-kadma,Bistupur Blood Bank,loc-bistupur-blood-bank,22.786,86.184,hosp-subarnarekha-super-speciality-,sim-veh-kadma-amb-1,sim-drv-kadma-1,3.62,4.5,7.2,1,DIWALI_FIRE_SEASON,SIM_SEED,True
SIM-008931,2025-02-26T03:43:10.102Z,medical,Trauma,Normal,COMPLETED,zone-bistupur,Bistupur Quarters,loc-bistupur,22.81,86.1971,hosp-tata-steel-advanced-multi-spec,sim-veh-bistupur-amb-2,sim-drv-bistupur-2,2.4,4.5,2.7,1,,SIM_SEED,True
SIM-005204,2022-12-23T10:09:13.863Z,fire,,Critical,COMPLETED,zone-factory,Blast Furnace Energy Station,loc-blast-furnace-energy-station,22.7692,86.211,,sim-veh-factory-fire-3,sim-drv-factory-3,0.56,1.1,1.1,1,INDUSTRIAL_FIRE_RISK,SIM_SEED,True
SIM-002585,2022-11-23T11:21:08.398Z,medical,Maternity,Urgent,COMPLETED,zone-bistupur,Russi Modi Centre,loc-russi,22.7991,86.1901,hosp-jubilee-care-hospital,sim-veh-bistupur-amb-1,sim-drv-bistupur-1,0.9,1.7,1.9,1,,SIM_SEED,True
SIM-008160,2023-03-05T18:19:52.581Z,medical,General,Normal,COMPLETED,zone-sakchi,Sakchi Market,loc-sakchimkt,22.7995,86.1992,hosp-township-maternity-clinic,sim-veh-sakchi-amb-3,sim-drv-sakchi-3,2.71,5.8,2.6,1,,SIM_SEED,True
SIM-009009,2023-05-30T09:11:34.577Z,medical,General,Urgent,COMPLETED,zone-bistupur,Bistupur Quarters,loc-bistupur,22.7946,86.177,hosp-tata-steel-advanced-multi-spec,sim-veh-bistupur-amb-3,sim-drv-bistupur-3,1.24,3,2.2,1,,SIM_SEED,True
SIM-008895,2023-03-24T09:28:51.090Z,medical,Maternity,Urgent,COMPLETED,zone-bistupur,JRD Tata Memorial Hostel,loc-jrd-tata-memorial-hostel,22.803,86.1879,hosp-jubilee-care-hospital,sim-veh-bistupur-amb-1,sim-drv-bistupur-1,1.33,4.3,2.6,3,,SIM_SEED,True
SIM-004791,2022-01-29T07:45:54.876Z,medical,Respiratory,Urgent,COMPLETED,zone-bistupur,Bistupur Market,loc-bistmkt,22.802,86.187,hosp-township-maternity-clinic,sim-veh-bistupur-amb-2,sim-drv-bistupur-2,1,1.7,1.9,1,COVID_OMICRON_WAVE_2022,SIM_SEED,True
SIM-008700,2025-01-25T18:27:08.983Z,medical,Cardiac,Urgent,COMPLETED,zone-sakchi,Sakchi Market,loc-sakchimkt,22.8083,86.2107,hosp-tata-steel-advanced-multi-spec,sim-veh-sakchi-amb-3,sim-drv-sakchi-3,4.14,10.5,8.1,1,,SIM_SEED,True
SIM-010657,2026-05-19T06:15:47.352Z,medical,Respiratory,Normal,COMPLETED,zone-factory,Blue Furnace Township Residency,loc-blue-furnace-township-residency,22.7704,86.2073,hosp-sakchi-community-hospital,sim-veh-factory-amb-3,sim-drv-factory-3,3.91,7.8,3.2,1,,SIM_SEED,True
SIM-003295,2025-01-12T22:39:20.627Z,fire,,Urgent,COMPLETED,zone-sakchi,Sakchi Heritage Quarters,loc-sakchi-heritage-quarters,22.8015,86.2099,,sim-veh-sakchi-fire-1,sim-drv-sakchi-1,1.96,3.5,3.5,1,,SIM_SEED,True
SIM-003160,2022-06-30T22:16:36.577Z,medical,Trauma,Urgent,COMPLETED,zone-kadma,Iron Valley Student Residence,loc-iron-valley-student-residence,22.7936,86.1737,hosp-subarnarekha-super-speciality-,sim-veh-kadma-amb-1,sim-drv-kadma-1,0.5,0.9,0.9,2,MONSOON_ROAD_TRAUMA,SIM_SEED,True
SIM-008465,2024-01-15T13:13:12.584Z,medical,Pediatric,Normal,COMPLETED,zone-kadma,Kadma Market,loc-kadmamkt,22.7858,86.161,hosp-tata-steel-advanced-multi-spec,sim-veh-kadma-amb-2,sim-drv-kadma-2,4,10,5.5,1,,SIM_SEED,True
SIM-003411,2021-08-17T11:38:06.261Z,medical,General,Urgent,COMPLETED,zone-sakchi,Fresh Harvest Vegetable Market,loc-fresh-harvest-vegetable-market,22.8051,86.2063,hosp-millennium-women-s-care-clinic,sim-veh-sakchi-amb-2,sim-drv-sakchi-2,0.96,1,1.6,1,,SIM_SEED,True
SIM-000094,2023-03-03T22:51:40.174Z,medical,General,Critical,COMPLETED,zone-sonari,Subarnarekha Riverside Quarters,loc-subarnarekha-riverside-quarter,22.7818,86.1694,hosp-subarnarekha-skin-and-wellness,sim-veh-sonari-amb-5,sim-drv-sonari-5,2.35,3.3,4.3,1,,SIM_SEED,True
SIM-005481,2022-09-13T11:45:46.647Z,medical,General,Normal,COMPLETED,zone-kadma,Bistupur Blood Bank,loc-bistupur-blood-bank,22.786,86.184,hosp-steel-township-physiotherapy-c,sim-veh-kadma-amb-2,sim-drv-kadma-2,2.74,3.8,5.4,3,,SIM_SEED,True
SIM-007656,2024-07-24T21:22:53.910Z,medical,Trauma,Urgent,COMPLETED,zone-kadma,Annapurna Community Mess,loc-annapurna-community-mess,22.799,86.1781,hosp-sakchi-community-hospital,sim-veh-kadma-amb-2,sim-drv-kadma-2,4.05,9.6,7.9,1,,SIM_SEED,True
SIM-006039,2023-07-06T09:24:36.272Z,medical,Respiratory,Normal,COMPLETED,zone-factory,Blue Furnace Township Residency,loc-blue-furnace-township-residency,22.7633,86.1979,hosp-tata-steel-advanced-multi-spec,sim-veh-factory-amb-4,sim-drv-factory-4,5.61,11.7,6.7,1,,SIM_SEED,True
SIM-002675,2025-03-30T15:39:23.996Z,medical,Trauma,Urgent,COMPLETED,zone-kadma,Sonari Aerodrome,loc-aerodrome,22.8123,86.1689,hosp-tata-steel-advanced-multi-spec,sim-veh-kadma-amb-1,sim-drv-kadma-1,3.9,4.4,8,1,,SIM_SEED,True
SIM-001559,2022-07-08T20:18:48.029Z,medical,Cardiac,Urgent,COMPLETED,zone-bistupur,Beldih Club (Banquet),loc-beldih,22.8016,86.1902,hosp-tata-steel-advanced-multi-spec,sim-veh-bistupur-amb-5,sim-drv-bistupur-5,1.61,1.4,2.5,1,,SIM_SEED,True
SIM-006278,2025-10-31T22:07:55.003Z,medical,Maternity,Urgent,COMPLETED,zone-sonari,Sonari Quarters,loc-sonari,22.7871,86.1655,hosp-subarnarekha-super-speciality-,sim-veh-sonari-amb-5,sim-drv-sonari-5,2.09,4.5,2.4,1,DIWALI_FIRE_SEASON,SIM_SEED,True
SIM-001975,2022-06-27T06:55:39.851Z,medical,Trauma,Normal,COMPLETED,zone-sonari,JRD Tata Sports Complex,loc-jrd,22.7746,86.1496,hosp-subarnarekha-super-speciality-,sim-veh-sonari-amb-1,sim-drv-sonari-1,8.7,9.9,15.8,1,MONSOON_ROAD_TRAUMA,SIM_SEED,True
SIM-000596,2024-12-25T16:45:34.706Z,medical,Trauma,Normal,COMPLETED,zone-sakchi,Telco Blood Bank,loc-telco-blood-bank,22.823,86.244,hosp-sakchi-community-hospital,sim-veh-sakchi-amb-2,sim-drv-sakchi-2,9.13,8.8,16.3,1,,SIM_SEED,True
SIM-008300,2024-09-13T10:12:37.638Z,medical,Trauma,Critical,COMPLETED,zone-bistupur,Bistupur Quarters,loc-bistupur,22.8057,86.1915,hosp-tata-steel-advanced-multi-spec,sim-veh-bistupur-amb-2,sim-drv-bistupur-2,1.71,5.4,3.6,1,,SIM_SEED,True
SIM-004752,2025-11-27T16:43:35.181Z,medical,General,Normal,COMPLETED,zone-sakchi,Sakchi Heritage Quarters,loc-sakchi-heritage-quarters,22.8015,86.2099,hosp-sakchi-community-hospital,sim-veh-sakchi-amb-3,sim-drv-sakchi-3,1.46,2.1,2.4,1,,SIM_SEED,True
SIM-006724,2023-03-22T13:03:51.679Z,medical,Maternity,Urgent,COMPLETED,zone-kadma,Kadma Quarters,loc-kadma,22.7889,86.165,hosp-subarnarekha-super-speciality-,sim-veh-kadma-amb-3,sim-drv-kadma-3,1.05,2.9,1.5,1,,SIM_SEED,True
SIM-007858,2023-08-31T08:02:34.587Z,medical,Maternity,Normal,COMPLETED,zone-factory,Fuel Station Depot,loc-fuel,22.7794,86.219,hosp-millennium-women-s-care-clinic,sim-veh-factory-amb-2,sim-drv-factory-2,3.53,9.9,4.5,1,,SIM_SEED,True
SIM-006783,2023-05-27T22:24:07.338Z,fire,,Normal,COMPLETED,zone-sonari,Subarnarekha Riverside Quarters,loc-subarnarekha-riverside-quarters,22.7881,86.1667,,sim-veh-sonari-fire-1,sim-drv-sonari-1,0.85,2.7,2.4,1,,SIM_SEED,True
SIM-003072,2026-04-10T19:12:03.073Z,medical,General,Urgent,COMPLETED,zone-bistupur,Tata Main Hospital,loc-tmh,22.7868,86.1958,hosp-jubilee-care-hospital,sim-veh-bistupur-amb-3,sim-drv-bistupur-3,3.93,5.2,8.1,1,,SIM_SEED,True
SIM-001201,2025-07-08T16:51:10.318Z,medical,Trauma,Normal,COMPLETED,zone-sonari,Sonari Quarters,loc-sonari,22.786,86.164,hosp-subarnarekha-super-speciality-,sim-veh-sonari-amb-2,sim-drv-sonari-2,4.41,6.2,8.8,1,MONSOON_ROAD_TRAUMA,SIM_SEED,True
SIM-007466,2026-01-29T08:45:30.936Z,medical,Maternity,Normal,COMPLETED,zone-factory,Central Workshop,loc-workshop,22.7663,86.2018,hosp-subarnarekha-super-speciality-,sim-veh-factory-amb-4,sim-drv-factory-4,4.78,15.6,6.4,1,,SIM_SEED,True
SIM-000765,2025-09-08T11:41:51.776Z,medical,Trauma,Normal,COMPLETED,zone-kadma,Tatanagar Railway Station,loc-station,22.7846,86.1842,hosp-subarnarekha-super-speciality-,sim-veh-kadma-amb-1,sim-drv-kadma-1,3.35,4,7.1,1,MONSOON_ROAD_TRAUMA,SIM_SEED,True
SIM-004697,2022-08-08T04:15:30.831Z,medical,General,Critical,COMPLETED,zone-sonari,XLRI Jamshedpur,loc-xlri,22.7783,86.1442,hosp-jrd-family-health-clinic,sim-veh-sonari-amb-3,sim-drv-sonari-3,9.52,12.5,16.2,1,,SIM_SEED,True
SIM-009407,2023-04-09T23:40:52.212Z,medical,Trauma,Urgent,CANCELLED,zone-sonari,Subarnarekha Riverside Quarters,loc-subarnarekha-riverside-quarters,22.7934,86.1737,hosp-sakchi-community-hospital,sim-veh-sonari-amb-1,sim-drv-sonari-1,3.57,11.4,8.5,1,,SIM_SEED,True
SIM-010388,2026-04-17T10:16:14.243Z,fire,,Critical,COMPLETED,zone-kadma,Mill Workers Welfare Colony,loc-mill-workers-welfare-colony,22.8024,86.1825,,sim-veh-kadma-fire-4,sim-drv-kadma-4,3.8,9.1,5,1,,SIM_SEED,True
SIM-006892,2026-05-25T09:34:04.642Z,medical,General,Urgent,COMPLETED,zone-bistupur,Keenan Stadium,loc-keenan,22.7952,86.1778,hosp-subarnarekha-super-speciality-,sim-veh-bistupur-amb-4,sim-drv-bistupur-4,1.86,5.6,4.9,1,,SIM_SEED,True
SIM-003161,2024-12-16T00:51:22.189Z,medical,Trauma,Critical,COMPLETED,zone-factory,Fuel Station Depot,loc-fuel,22.7732,86.2012,hosp-steel-city-general-hospital,sim-veh-factory-amb-2,sim-drv-factory-2,1.66,1.9,2.6,1,,SIM_SEED,True
SIM-001734,2022-06-09T19:35:45.387Z,medical,General,Normal,COMPLETED,zone-sakchi,Mango Bus Stand,loc-mango,22.8331,86.2081,hosp-millennium-women-s-care-clinic,sim-veh-sakchi-amb-5,sim-drv-sakchi-5,6.79,6.8,11.8,1,,SIM_SEED,True
SIM-008858,2024-07-11T08:36:03.051Z,medical,General,Critical,COMPLETED,zone-bistupur,JRD Tata Memorial Hostel,loc-jrd-tata-memorial-hostel,22.7981,86.1816,hosp-township-maternity-clinic,sim-veh-bistupur-amb-3,sim-drv-bistupur-3,0.59,1.8,1.1,1,,SIM_SEED,True
SIM-009912,2023-08-02T01:58:07.202Z,medical,General,Normal,COMPLETED,zone-factory,Burma Mines,loc-burma,22.7716,86.2087,hosp-jubilee-care-hospital,sim-veh-factory-amb-3,sim-drv-factory-3,4.83,8.9,4.4,1,,SIM_SEED,True
SIM-002993,2022-03-17T18:03:37.828Z,medical,Maternity,Critical,COMPLETED,zone-factory,Foundry Workers Enclave,loc-foundry-workers-enclave,22.7716,86.2086,hosp-jubilee-care-hospital,sim-veh-factory-amb-2,sim-drv-factory-2,4.89,2.5,8.9,1,,SIM_SEED,True
SIM-001961,2021-12-30T17:46:13.684Z,medical,General,Normal,COMPLETED,zone-sakchi,Golmuri Circle,loc-golmuri,22.8001,86.2201,hosp-sakchi-community-hospital,sim-veh-sakchi-amb-2,sim-drv-sakchi-2,3.9,5.9,7.7,1,,SIM_SEED,True
SIM-002198,2021-09-18T18:08:09.608Z,medical,General,Normal,COMPLETED,zone-kadma,Little Steel Foundation School,loc-little-steel-foundation-school,22.7936,86.1737,hosp-subarnarekha-super-speciality-,sim-veh-kadma-amb-4,sim-drv-kadma-4,1.68,2.7,2.7,1,,SIM_SEED,True
SIM-010528,2026-02-20T09:22:31.694Z,medical,Cardiac,Urgent,COMPLETED,zone-factory,Central Workshop,loc-workshop,22.779,86.2185,hosp-tata-steel-advanced-multi-spec,sim-veh-factory-amb-1,sim-drv-factory-1,5.51,12.1,7.9,1,,SIM_SEED,True
SIM-000539,2025-04-21T05:42:05.592Z,medical,General,Urgent,COMPLETED,zone-kadma,Tatanagar Railway Station,loc-station,22.7846,86.1842,hosp-steel-township-physiotherapy-c,sim-veh-kadma-amb-5,sim-drv-kadma-5,4,6.3,8.2,1,,SIM_SEED,True
SIM-000506,2024-07-21T01:15:50.691Z,fire,,Critical,COMPLETED,zone-factory,Steel City Meat and Poultry Market,loc-steel-city-meat-and-poultry-ma,22.768,86.2122,,sim-veh-factory-fire-3,sim-drv-factory-3,1.84,3.4,3.4,1,INDUSTRIAL_FIRE_RISK,SIM_SEED,True
SIM-007264,2024-03-08T09:08:25.701Z,medical,Pediatric,Normal,COMPLETED,zone-factory,Factory Main Gate,loc-gate,22.7642,86.1992,hosp-tata-steel-advanced-multi-spec,sim-veh-factory-amb-4,sim-drv-factory-4,4.58,14,8,1,,SIM_SEED,True
SIM-003414,2024-02-17T22:58:13.636Z,medical,General,Urgent,CANCELLED,zone-sakchi,Mango Bus Stand,loc-mango,22.8331,86.2081,hosp-millennium-women-s-care-clinic,sim-veh-sakchi-amb-5,sim-drv-sakchi-5,6.09,5.5,10.4,4,,SIM_SEED,True
